
 ┌───────────────────────────────────────────────────┐ 
 │                 ESTELAR.SU Store                  │ 
 │                   Fiber v2.52.6                   │ 
 │               http://127.0.0.1:8080               │ 
 │       (bound on host 0.0.0.0 and port 8080)       │ 
 │                                                   │ 
 │ Handlers ............ 53  Processes ........... 1 │ 
 │ Prefork ....... Disabled  PID .............. 7324 │ 
 └───────────────────────────────────────────────────┘ 

2026-04-24 22:29:03 | 202 |      7.0075ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 22:29:03 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:29:03 | 200 |            0s | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 22:29:03 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:29:03 | 200 |            0s | 127.0.0.1 | GET | /contacts | -
2026-04-24 22:29:03 | 200 |            0s | 127.0.0.1 | GET | /admin | -
2026-04-24 22:29:03 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:29:03 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 22:29:03 | 200 |            0s | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 22:29:03 | 202 |      2.5075ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 22:29:03 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:29:03 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 22:29:03 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 22:29:04 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:29:04 | 200 |      1.0019ms | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 22:29:04 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 22:29:04 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:32:50 | 200 |            0s | 127.0.0.1 | GET | /admin | -
2026-04-24 22:32:50 | 200 |            0s | 127.0.0.1 | GET | /rules | -
2026-04-24 22:32:51 | 200 |            0s | 127.0.0.1 | GET | /contacts | -
2026-04-24 22:32:51 | 200 |            0s | 127.0.0.1 | GET | /contacts | -
2026-04-24 22:32:51 | 200 |            0s | 127.0.0.1 | GET | /rules | -
2026-04-24 22:32:51 | 200 |            0s | 127.0.0.1 | GET | / | -
2026-04-24 22:32:52 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:32:52 | 200 |      1.0032ms | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 22:32:52 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 22:32:52 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:32:52 | 200 |        66.1µs | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:32:52 | 200 |            0s | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 22:32:52 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 22:32:52 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:32:52 | 200 |            0s | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 22:32:52 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:32:52 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:32:52 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 22:32:52 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:32:52 | 200 |            0s | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 22:32:52 | 202 |    200.2899ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 22:32:52 | 202 |    190.2671ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 22:32:52 | 200 |            0s | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 22:32:52 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:32:52 | 202 |     80.7928ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 22:32:52 | 202 |     20.0499ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 22:32:52 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:32:52 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 22:32:52 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:32:52 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:32:52 | 200 |            0s | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 22:32:52 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:32:52 | 202 |      2.0024ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 22:32:52 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 22:32:53 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 22:35:12 | 200 |            0s | 127.0.0.1 | GET | /contacts | -
2026-04-24 22:35:12 | 200 |            0s | 127.0.0.1 | GET | /rules | -
2026-04-24 22:35:12 | 202 |      2.9991ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 22:35:12 | 202 |      4.0102ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 22:35:12 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:35:12 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:35:12 | 200 |            0s | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 22:35:12 | 200 |            0s | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 22:35:12 | 200 |       703.3µs | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:35:12 | 200 |       703.3µs | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:35:12 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 22:35:12 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 22:35:59 | 200 |            0s | 127.0.0.1 | GET | /contacts | -
2026-04-24 22:36:19 | 200 |            0s | 127.0.0.1 | GET | /contacts | -
2026-04-24 22:37:13 | 200 |            0s | 127.0.0.1 | GET | / | -
2026-04-24 22:38:19 | 200 |            0s | 127.0.0.1 | GET | / | -
2026-04-24 22:38:20 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:38:20 | 200 |            0s | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 22:38:20 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 22:38:20 | 202 |      1.5349ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 22:38:20 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 22:38:24 | 202 |      1.4089ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 22:38:24 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 22:38:31 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 22:38:31 | 202 |      1.5514ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 22:38:36 | 202 |      1.0785ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 22:38:36 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 22:38:37 | 202 |      2.4367ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 22:38:37 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 22:38:40 | 200 |    565.5836ms | 127.0.0.1 | GET | /api/v1/admin/session | -
2026-04-24 22:38:40 | 200 |    746.2205ms | 127.0.0.1 | GET | /api/v1/admin/dashboard | -
2026-04-24 22:38:41 | 200 |     69.3139ms | 127.0.0.1 | GET | /api/v1/admin/orders | -
2026-04-24 22:38:41 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 22:38:54 | 202 |      1.2675ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 22:38:54 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 23:18:34 | 200 |       503.5µs | 127.0.0.1 | GET | / | -
2026-04-24 23:18:34 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
